N2 Surplus,Corn Yield,Soybean Yield,Ethanol Production
-27.046415977173382,201.1005643879671,54.60795657139556,30708188.90841507
-35.859124004448915,208.88805542069167,48.15520012751904,33532283.165410634
-23.90416666129221,197.22555231976548,54.20885258487874,32083879.72721436
-36.4682943480766,214.30614435514872,47.915868777090736,34533592.129990764
-30.728744797959905,201.3874439045212,53.33972502173947,31524658.80596184
-36.8730761240931,204.90683493569486,51.08167981462566,33962373.51542412
-32.038793247593674,206.20438624802955,51.66321432788163,32753376.864917543
-40.721051538176056,226.3146121532045,43.25321496445713,37510614.96976223
-29.102786125870438,207.8721421355749,50.206708031992775,34772876.88109603
-25.236368061192138,207.17607034652247,50.43998890580201,33066693.050497714
-34.959415399351,207.7060634593563,51.5357787236037,37135812.781232275
-17.27450270822075,203.5512708136739,50.332993375419846,32488150.686402228
-43.65634474930414,228.01886256804937,44.0878364982309,39717734.638673514
-46.913009264032866,203.09836404680937,50.33815564116958,32883400.218880203
20.229753332897644,187.94695828237855,58.144731477272444,32305105.04892168
22.81960882146845,180.35092652129424,61.59061183710901,30445905.590506982
23.922597898325904,203.4556317621682,54.5729242183354,35283039.65166237
1.9458898684687256,210.4789055872243,50.94334719900394,35370445.46751285
-35.133916862645265,218.46154305237178,45.14837668053565,37550078.819860764
-34.39099589718063,224.21198211800038,43.75764672669425,39570769.14243807
-11.816356002466847,195.16788451918364,56.700469034704156,32497947.018008236
-24.363729836127703,203.13787940789916,53.334687525495156,33825053.02351404
-23.98113074432058,201.20965445172442,54.52239431190401,34430356.22307793
-29.561540434885416,203.56108123135346,53.50401650397998,17900584.184258852
-38.09924518336638,203.7882363601675,52.06663073129448,20172357.62223081
-28.009534743546823,198.49246124988167,54.78129372947524,18581967.03628907
-44.79052029472862,213.5640897472258,48.4306116901671,20976162.38420944
-37.50575670907014,201.85462916485994,53.023584022314935,18586935.73720364
-45.32649066877269,201.0187980330411,53.70569261198739,20360968.911712933
-42.586342218242436,205.88445388919536,52.468780743434536,19589938.72906956
-51.98155001890473,230.17633464170285,42.0551787023403,22961056.12111535
-34.850581057754596,206.45590931982588,51.025774053988926,20911687.824386723
-33.728457651349686,202.74923953592588,53.45274510805007,20380665.79198015
